Source,Target,Specialisation,Surname
Dr Marek Martyniszyn,School of Law,"Contract, Competition Law",Martyniszyn
Dr Natasa Mavronicola,School of Law,,Mavronicola
Dr Simon Mawhinney ,Music and Sonic Arts,,Mawhinney
Dr Andrea Mayr,School of English,English Language,Mayr
Dr Anne-Marie McAlinden,School of Law,"Sex Offenders, Restorative Justice",McAlinden
Dr Siobhan McAlister,"School of Sociology, Social Policy and Social Work",Criminology,McAlister
Dr Cillian McBride,"School of Politics, International Studies and Philosophy",,McBride
Dr Cathal McCall,"School of Politics, International Studies and Philosophy",,McCall
Dr Darran McCann,School of English,Creative Writing,McCann
Dr Sarah McCleave ,Music and Sonic Arts,,McCleave
Dr Billy McClune,School of Education,,McClune
Dr Gail McConnell,School of English,Contemporary Literature,McConnell
Dr Finbar McCormick,"School of Geography, Archaeology and Paleoecology",Past Cultural Change,McCormick
Prof Christopher McCrudden,School of Law,"Constitutional Law, EU Human Rights Law",McCrudden
Dr Maeve McCusker,School of Modern Languages,French Studies,McCusker
Prof Kieran McEvoy,School of Law,"Transitional Justice, Restorative Justice",McEvoy
Dr Paula McFadden,"School of Sociology, Social Policy and Social Work",Social Work,McFadden
Dr Fearghal McGarry,School of History and Anthropology,Irish Studies / Irish History,McGarry
Dr Philip McGowan,School of English,American Literature,McGowan
Dr Lee McGowan,"School of Politics, International Studies and Philosophy",,McGowan
Dr Aoife McGrath,Drama,Drama,McGrath
Medbh McGuckian,School of English,Creative Writing (Poetry),McGuckian
Prof Carol McGuinness,School of Education,,McGuinness
Dr Eugene McKendry,School of Education,,McKendry
Dr Jennifer McKinley,"School of Geography, Archaeology and Paleoecology",Environmental Change,McKinley
Prof Cahal McLaughlin,Film,Film Studies,McLaughlin
Dr Peter McLoughlin,"School of Politics, International Studies and Philosophy",,McLoughlin
Dr Cathal McManus,School of Education,,McManus
Dr Susan McManus,"School of Politics, International Studies and Philosophy",,McManus
Dr Catherine McNamee,"School of Sociology, Social Policy and Social Work",Sociology,McNamee
Dr Kathryn McNeilly,School of Law,"Human Rights, Critical Legal Studies, Gender",McNeilly
Dr Ronagh McQuigg,School of Law,"Human Rights, Gender",McQuigg
Prof Erika Meitner,School of English,Fullbright Scholar,Meitner
Dr Sarah Miller,School of Education,,Miller
Prof Robert Miller,"School of Sociology, Social Policy and Social Work",Sociology,Miller
Dr Ida Milne,School of History and Anthropology,"Irish Studies / Irish History,Science and Medicine, History of",Milne
Dr Luke Moffett ,School of Law,,Moffett
Ms Lorna Montgomery,"School of Sociology, Social Policy and Social Work",Social Work,Montgomery
Ms Suzanne Mooney  ,"School of Sociology, Social Policy and Social Work",Social Work,Mooney
Dr Claire Moran,School of Modern Languages,French Studies (Head of French and Head of Recruitment),Moran
Prof John Morison,School of Law,"Jurisprudence, Constitutional Law",Morison
Dr Joe Morrison,"School of Politics, International Studies and Philosophy",,Morrison
Prof Sinead Morrissey,School of English,Creative Writing (Poetry),Morrissey
Dr Donal Mullan,"School of Geography, Archaeology and Paleoecology",Environmental Change,Mullan
Dr Paul Murphy ,Drama,Drama,Murphy
Dr Eileen Murphy,"School of Geography, Archaeology and Paleoecology",Past Cultural Change,Murphy
Prof Thérèse Murphy,School of Law,Human Rights,Murphy
Dr Alex Murray,School of English,Modern Literary Studies,Murray
Dr James Nelson,School of Education,,Nelson
Dr Ephraim Nimni,"School of Politics, International Studies and Philosophy",,Nimni
Dr Aisling O'Boyle,School of Education,,O'Boyle
Dr Margaret O'Callaghan,"School of Politics, International Studies and Philosophy",,O'Callaghan
Prof Sean O'Connell,School of History and Anthropology,"British History,Gender History,Irish Studies / Irish History,Social and Economic History",O'Connell
Prof Mary O'Dowd,School of History and Anthropology,"Early-Modern History,Social and Economic History,Irish Studies / Irish History,Gender History",O'Dowd
Prof Liam O’Dowd,"School of Sociology, Social Policy and Social Work",Sociology,O’Dowd
Dr Ciarán O'Kelly,School of Law,"Corporate Governance, Ethics",O'Kelly
Prof Shane O'Neill ,"School of Politics, International Studies and Philosophy",,O'Neill
Dr Des O'Rawe,Film,Film Studies,O'Rawe
Dr Ricki O'Rawe,School of Modern Languages,Spanish & Portuguese Studies,O'Rawe
Dr Sinead O'Sullivan,School of History and Anthropology,"Medieval History,Religious History",O'Sullivan
Mr Richard O'Sullivan,Film,Film Studies,O'Sullivan
Prof Julian Orford,"School of Geography, Archaeology and Paleoecology",Environmental Change,Orford
Dr Gascia Ouzounian ,Music and Sonic Arts,,Ouzounian
Dr Federico Lupo-Pasini,School of Law,"Law & Economics, Financial Law",Pasini
Dr Glenn Patterson,School of English,Creative Writing (Fiction),Patterson
Julia Paul,School of English,Broadcast Literacy,Paul
Prof Roger Penn,"School of Sociology, Social Policy and Social Work",Sociology,Penn
Dr Maria Pentaraki  ,"School of Sociology, Social Policy and Social Work",Social Work,Pentaraki
Dr Andrew Pepper,School of English, American Literature,Pepper
Dr Andrew Percy,"School of Sociology, Social Policy and Social Work",Criminology,Percy
Dr Dieter Pesendorfer,School of Law,"Governance, Sustainable Development",Pesendorfer
Dr Mark Phelan ,Drama,Drama,Phelan
Prof David Phinnemore,"School of Politics, International Studies and Philosophy",,Phinnemore
Prof Jonathan Pilcher,"School of Geography, Archaeology and Paleoecology",Environmental Change,Pilcher
Prof John Pinkerton,"School of Sociology, Social Policy and Social Work",Social Work,Pinkerton
Dr Gill Plunkett,"School of Geography, Archaeology and Paleoecology",Environmental Change,Plunkett
Dr Janosch Prinz,"School of Politics, International Studies and Philosophy",,Prinz
Prof Lindsay Prior,"School of Sociology, Social Policy and Social Work",Sociology,Prior
Dr Olwen Purdue,School of History and Anthropology,"Irish Studies / Irish History,Social and Economic History,Science and Medicine, History of",Purdue
Dr Ryan Rabett,"School of Geography, Archaeology and Paleoecology",Environmental Change,Rabett
Dr Joan Rahilly,School of English,Phonetics and linguistics; clinical speech and language,Rahilly
Dr Chris Raymond,"School of Politics, International Studies and Philosophy",,Raymond
Prof Pedro Rebelo,Music and Sonic Arts,,Rebelo
Dr Shaun Regan,School of English,18th Century Literature,Regan
Prof Paula Reimer,"School of Geography, Archaeology and Paleoecology",Environmental Change,Reimer
Dr Emma Reisz,School of History and Anthropology,World History,Reisz
Dr Gary Rhodes,Film,Film Studies,Rhodes
Dr Marc Richards,School of English,Linguistics,Richards
Dr David Robb,Drama,Arts Management,Robb
Dr Daniel Sanjiv Roberts,School of English,Romanticism and Indian Literature in English,Roberts
Dr James Robinson,"School of Geography, Archaeology and Paleoecology","Space, Society and Culture",Robinson
Dr Helen Roe,"School of Geography, Archaeology and Paleoecology",Environmental Change,Roe
Dr Audrey Roulston,"School of Sociology, Social Policy and Social Work",Social Work,Roulston
Mlle Maryvonne Le Roy,School of Modern Languages,French Studies,Roy
Prof Stephen Royle,"School of Geography, Archaeology and Paleoecology","Space, Society and Culture",Royle
Dr Alastair Ruffell,"School of Geography, Archaeology and Paleoecology",Environmental Change,Ruffell
Dr Deborah Russell,School of English,Eighteenth Century and Romantic Literature,Russell
Prof Dagmar Schiek,School of Law,"EU Legal Studies, Comparative, Labour and Equality Law",Schiek
Prof Richard Schoch,Drama,Drama,Schoch
Dr Franziska Schroeder ,Music and Sonic Arts,,Schroeder
Dr Dirk Schubotz,"School of Sociology, Social Policy and Social Work",Social Policy,Schubotz
Dr Alex Schwartz,School of Law,"Comparative Constitutional Law, Judicial Behaviour, Legal Theory",Schwartz
Prof Walther Schwarzacher,"School of Geography, Archaeology and Paleoecology",Environmental Change,Schwarzacher
Prof Phil Scraton,School of Law,"Critical Criminology, Childhood, Prisons",Scraton
Dr Tanya Serisier,"School of Sociology, Social Policy and Social Work",Criminology,Serisier
